"team_id","league_id","abbr","team_concat","name","location","conf","div","lat","lon","weather"
60209,6,UAB,CBB_UAB,UAB,"Birmingham, AL",AAC,,33.528000,-86.809196,0
60714,6,UCF,CBB_UCF,UCF,"Orlando, FL",B12,,28.608000,-81.193001,0
60615,6,UCLA,CBB_UCLA,UCLA,"Los Angeles, CA",B10,,34.161600,-118.167999,0
60402,6,UMBC,CBB_UMBC,Maryland-Baltimore County,"Baltimore, MD",AEC,,39.255700,-76.711197,0
62704,6,UND,CBB_UND,North Dakota,"Grand Forks, ND",SUM,,47.922300,-97.077103,0
62008,6,UNLV,CBB_UNLV,Nevada-Las Vegas,"Las Vegas, NV",MTNW,,36.086000,-115.016998,0
62809,6,USA,CBB_USA,South Alabama,"Mobile, AL",SUNB,,30.674200,-88.075600,0
60616,6,USC,CBB_USC,Southern California,"Los Angeles, CA",B10,,34.014000,-118.288002,0
62705,6,USD,CBB_USD,South Dakota,"Vermillion, SD",SUM,,42.790300,-96.926102,0
60210,6,USF,CBB_USF,South Florida,"Tampa, FL",AAC,,27.976000,-82.503304,0
60715,6,UT,CBB_UT,Utah,"Salt Lake City, UT",B12,,40.759900,-111.848999,0
61305,6,UTEP,CBB_UTEP,UTEP,"El Paso, TX",CUSA,,31.773300,-106.508003,0
60211,6,UTSA,CBB_UTSA,UTSA,"San Antonio, TX",AAC,,29.416900,-98.478897,0
62009,6,UTST,CBB_UTST,Utah State,"Logan, UT",MTNW,,41.751500,-111.811996,0
60315,6,VA,CBB_VA,Virginia,"Charlottesville, VA",ACC,,38.031100,-78.513702,0
61908,6,VALP,CBB_VALP,Valparaiso,"Valparaiso, IN",MVAL,South,41.464300,-87.044197,0
62416,6,VAND,CBB_VAND,Vanderbilt,"Nashville, TN",SEC,,36.143600,-86.808800,0
60316,6,VATC,CBB_VATC,Virginia Tech,"Blacksburg, VA",ACC,,37.220000,-80.418098,0
60113,6,VCU,CBB_VCU,Virginia Commonwealth,"Richmond, VA",A10,,37.544600,-77.432899,0
60810,6,VILL,CBB_VILL,Villanova,"Villanova, PA",BEAST,,40.036800,-75.343002,0
60403,6,VT,CBB_VT,Vermont,"Burlington, VT",AEC,,44.477600,-73.197098,0
60617,6,WA,CBB_WA,Washington,"Seattle, WA",B10,,47.650400,-122.303001,0
62104,6,WAG,CBB_WAG,Wagner,"Staten Island, NY",NE,,40.614200,-74.094101,0
63007,6,WAST,CBB_WAST,Washington State,"Pullman, WA",WC,,46.732000,-117.161003,0
61005,6,WEB,CBB_WEB,Weber State,"Ogden, UT",BSKY,,41.190700,-111.944000,0
60317,6,WF,CBB_WF,Wake Forest,"Winston-Salem, NC",ACC,,36.091800,-80.255302,0
60618,6,WI,CBB_WI,Wisconsin,"Madison, WI",B10,,43.069900,-89.412804,0
60212,6,WICH,CBB_WICH,Wichita State,"Wichita, KS",AAC,,37.719000,-97.291199,0
60902,6,WIN,CBB_WIN,Winthrop,"Rock Hill, SC",BS,,34.938900,-81.032600,0
61306,6,WKY,CBB_WKY,Western Kentucky,"Bowling Green, KY",CUSA,,36.984900,-86.459000,0
61708,6,WMI,CBB_WMI,Western Michigan,"Kalamazoo, MI",MAC,West,42.285800,-85.600998,0
62505,6,WOFF,CBB_WOFF,Wofford,"Spartanburg, SC",SO,,34.958700,-81.935303,0
61408,6,WST,CBB_WST,Wright State,"Dayton, OH",HZ,,39.779400,-84.066002,0
60716,6,WV,CBB_WV,West Virginia,"Morgantown, WV",B12,,39.652200,-79.955200,0
62010,6,WY,CBB_WY,Wyoming,"Laramie, WY",MTNW,,41.311900,-105.569000,0
60811,6,X,CBB_X,Xavier,"Cincinnati, OH",BEAST,,39.149200,-84.473999,0
61505,6,YALE,CBB_YALE,Yale,"New Haven, CT",IVY,,41.316000,-72.922302,0
59001,5,IDHO,CFB_IDHO,Idaho,"Moscow, ID",FCS,BIG SKY,46.726000,-117.017000,1
59002,5,PRST,CFB_PRST,Portland St,"Portland, OR",FCS,BIG SKY,45.555000,-122.907000,1
59003,5,SAC,CFB_SAC,Sacramento St,"Sacramento, CA",FCS,BIG SKY,38.556000,-121.423000,1
59004,5,UCD,CFB_UCD,UC Davis,"Davis, CA",FCS,BIG SKY,38.537000,-121.763000,1
59005,5,EWU,CFB_EWU,E Washington,"Cheney, WA",FCS,BIG SKY,47.493000,-117.587000,1
59006,5,MTST,CFB_MTST,Montana St,"Bozeman, MT",FCS,BIG SKY,45.659000,-111.050000,1
59007,5,WEB,CFB_WEB,Weber St,"Ogden, UT",FCS,BIG SKY,41.192000,-111.940000,1
59008,5,CP,CFB_CP,Cal Poly,"San Luis Obispo, CA",FCS,BIG SKY,35.298000,-120.665000,1
59009,5,MONT,CFB_MONT,Montana,"Missoula, MT",FCS,BIG SKY,46.864000,-113.982000,1
59010,5,IDST,CFB_IDST,Idaho St,"Pocatello, ID",FCS,BIG SKY,42.870000,-112.428000,1
59011,5,NAU,CFB_NAU,N Arizona,"Flagstaff, AZ",FCS,BIG SKY,35.181000,-111.653000,1
59012,5,UNCO,CFB_UNCO,N Colorado,"Greeley, CO",FCS,BIG SKY,40.403000,-104.705000,1
59013,5,GWEB,CFB_GWEB,Gardner-Webb,"Boiling Springs, NC",FCS,OVC,35.246000,-81.674000,1
59014,5,LIN,CFB_LIN,Lindenwood,"Saint Charles, MO",FCS,OVC,38.795000,-90.520000,1
59015,5,WIU,CFB_WIU,W Illinois,"Macomb, IL",FCS,OVC,40.468000,-90.684000,1
59016,5,CHSO,CFB_CHSO,Charleston So,"North Charleston, SC",FCS,OVC,32.981000,-80.066000,1
59017,5,UTM,CFB_UTM,UT Martin,"Martin, TN",FCS,OVC,36.345000,-88.862000,1
59018,5,SEMO,CFB_SEMO,SE Missouri,"Cape Girardeau, MO",FCS,OVC,37.303000,-89.523000,1
59019,5,EIU,CFB_EIU,E Illinois,"Charleston, IL",FCS,OVC,39.480000,-88.181000,1
