"season_id","league_id","season_concat","pre_dt","reg_start_dt","reg_end_dt","post_start_dt","champ_series_start_dt","champ_dt","yr_var","yr"
502020,5,CFB_2020,2020-09-03,2020-12-19,2020-12-21,,2021-01-11,,"2020",2020
502021,5,CFB_2021,2021-08-28,2021-12-04,2021-12-11,,2022-01-10,,"2021",2021
102023,1,NBA_2023,2022-10-18,2023-04-09,2023-04-15,,2023-06-01,,"2023",2023
302023,3,NHL_2023,2022-10-07,2023-04-14,2023-04-17,,2023-06-03,,"2023",2023
402013,4,MLB_2013,2013-03-28,2013-09-30,2013-10-01,,2013-10-23,,"2013",2013
402010,4,MLB_2010,2010-04-02,2010-10-03,2010-10-07,,2010-10-27,,"2010",2010
402011,4,MLB_2011,2011-03-26,2011-09-28,2011-10-01,,2011-10-19,,"2011",2011
402012,4,MLB_2012,2012-03-24,2012-10-03,2012-10-05,,2012-10-24,,"2012",2012
402014,4,MLB_2014,2014-03-19,2014-09-28,2014-10-01,,2014-10-21,,"2014",2014
502022,5,CFB_2022,2022-08-27,2022-12-03,2022-12-16,,2023-01-09,,"2022",2022
502023,5,CFB_2023,2023-08-26,2023-12-02,2023-12-09,,2024-01-08,,"2023",2023
502024,5,CFB_2024,2024-08-24,2024-11-30,2024-12-14,,2025-01-20,,"2024",2024
102025,1,NBA_2025,2024-10-22,2025-04-20,2025-04-21,,2025-06-10,,"2025",2025
302025,3,NHL_2025,2024-10-04,2025-04-20,2025-04-21,,2025-06-10,,"2025",2025
602025,6,CBB_2025,2024-11-04,,,,2025-04-15,,"2025",2025
402025,4,MLB_2025,2025-03-15,,,,2025-11-15,,"2025",2025
302021,3,NHL_2021,2021-01-13,2021-05-19,2021-05-15,,2021-06-28,,"2021",2021
202025,2,NFL_2025,2025-09-04,,,,2026-02-08,,"2025",2025
502025,5,CFB_2025,2025-08-23,,,,2026-01-19,,"2025",2025
